V1	V2
isogroup12009	GO:0043087
isogroup12010	GO:0005524;GO:0006950;GO:0033554;GO:0061077
isogroup12019	GO:0006457;GO:0003755;GO:0004600;GO:0030051;GO:0042027;GO:0006950;GO:0033554;GO:0061077
isogroup1202	GO:0005622;GO:0006355
isogroup12022	GO:0005509;GO:0008152;GO:0016491
isogroup12024	GO:0019825
isogroup12025	GO:0006520;GO:0008483;GO:0003824;GO:0009058;GO:0016769;GO:0004069
isogroup12026	GO:0004500;GO:0006584
isogroup12030	GO:0005515;GO:0007165
isogroup12031	GO:0004623;GO:0005509;GO:0016042
isogroup12032	GO:0003824
isogroup12033	GO:0005489;GO:0006118;GO:0008137;GO:0003954
isogroup12039	GO:0008757;GO:0035049
isogroup1204	GO:0005351;GO:0009401
isogroup12045	GO:0005634;GO:0005732;GO:0006397;GO:0030529;GO:0030532
isogroup12047	GO:0004197;GO:0006508;GO:0008234;GO:0016946;GO:0004089;GO:0031214
isogroup12049	GO:0005622;GO:0008270;GO:0004190;GO:0006508;GO:0010992
isogroup12050	GO:0003676;GO:0003723;GO:0005634;GO:0005737;GO:0006396;GO:0003755;GO:0004600;GO:0030051;GO:0042027
isogroup12055	GO:0016020;GO:0006508;GO:0008533;GO:0004238
isogroup12057	GO:0005554
isogroup12058	GO:0000166;GO:0017111
isogroup12059	GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004674;GO:0004682;GO:0004691;GO:0005952;GO:0005956;GO:0008603;GO:0008605;GO:0004693;GO:0008353
isogroup1206	GO:0005515;GO:0005737
isogroup12060	GO:0004560;GO:0005975
isogroup12061	GO:0003700;GO:0005634;GO:0006355;GO:0003677
isogroup12062	GO:0006457;GO:0031072;GO:0051082;GO:0051087
isogroup12065	GO:0005509
isogroup12068	GO:0003847
isogroup12070	GO:0007242
isogroup12072	GO:0003676;GO:0003677;GO:0004672;GO:0004682;GO:0004691;GO:0005952;GO:0005956;GO:0008603;GO:0008605
isogroup12073	GO:0006457;GO:0031072;GO:0051082;GO:0003677;GO:0006306;GO:0008170;GO:0006950;GO:0033554;GO:0061077
isogroup12074	GO:0016787;GO:0003993
isogroup12076	GO:0004013;GO:0006730;GO:0004930;GO:0016020
isogroup12079	GO:0006465;GO:0006508;GO:0008233;GO:0016020;GO:0008236;GO:0008234
isogroup1208	GO:0004818;GO:0005524;GO:0006424;GO:0004812;GO:0006418;GO:0004819;GO:0004827
isogroup12081	GO:0006118;GO:0004497
isogroup12083	GO:0005509;GO:0007156;GO:0016020
isogroup12090	GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004674;GO:0004693
isogroup12091	GO:0003723;GO:0009383;GO:0006412
isogroup12096	GO:0005741;GO:0006820;GO:0008308
isogroup12097	GO:0004857;GO:0008073
isogroup12099	GO:0003735;GO:0005739;GO:0005840;GO:0006412
isogroup1210	GO:0005198;GO:0007155;GO:0015629;GO:0045296
isogroup12100	GO:0006952;GO:0042829;GO:0004623;GO:0005509;GO:0016042;GO:0000160;GO:0003677;GO:0006355
isogroup12102	GO:0004872;GO:0009719;GO:0005164;GO:0033209
isogroup12104	GO:0008152;GO:0016491;GO:0047105;GO:0004029
isogroup12105	GO:0003676;GO:0005634;GO:0008270
isogroup12108	GO:0030154
isogroup1211	GO:0000151;GO:0004842;GO:0008270;GO:0016567
isogroup12110	GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004674
isogroup12112	GO:0003676;GO:0005524;GO:0008026;GO:0004386;GO:0004003;GO:0004004;GO:0008094;GO:0008186;GO:0015462;GO:0015616;GO:0016887;GO:0017116;GO:0042623;GO:0042624;GO:0042625;GO:0042626;GO:0003743;GO:0006412
isogroup12114	GO:0009058
isogroup12115	GO:0004735;GO:0006561
isogroup12118	GO:0003723;GO:0005525;GO:0005786;GO:0006614
isogroup12123	GO:0006508;GO:0008236;GO:0016020;GO:0004244;GO:0008717
isogroup12125	GO:0000151;GO:0004842;GO:0008270;GO:0016567;GO:0010992
isogroup12126	GO:0004497;GO:0006118
isogroup1213	GO:0005856
isogroup12132	GO:0006118;GO:0004497;GO:0016705;GO:0018585;GO:0018586;GO:0018587;GO:0018588;GO:0018589;GO:0018590;GO:0018591;GO:0018592;GO:0018593;GO:0018594;GO:0018595;GO:0018596;GO:0018597;GO:0018598;GO:0018599;GO:0018600;GO:0018601
isogroup12133	GO:0005525;GO:0007264;GO:0015031
isogroup12134	GO:0050105
isogroup12138	GO:0003677;GO:0005634
isogroup12142	GO:0005515;GO:0003774;GO:0005200;GO:0005884
isogroup12143	GO:0005198;GO:0007155;GO:0015629
isogroup12145	GO:0000166;GO:0017111;GO:0005524
isogroup12148	GO:0003824;GO:0006629;GO:0016789;GO:0004771
isogroup12149	GO:0004558;GO:0004339
isogroup12150	GO:0005215;GO:0006810;GO:0008021;GO:0016020;GO:0003899;GO:0007268
isogroup12151	GO:0003677;GO:0006355;GO:0050265;GO:0040029;GO:0016570
isogroup12155	GO:0003700;GO:0005634;GO:0006355
isogroup12156	GO:0003677;GO:0005634;GO:0005509;GO:0006355;GO:0035497
isogroup12158	GO:0007155;GO:0005509
isogroup12159	GO:0003677;GO:0004003;GO:0006303;GO:0005634
isogroup12160	GO:0003677;GO:0003700;GO:0005634;GO:0006355;GO:0007275
isogroup12164	GO:0016021
isogroup12165	GO:0005576
isogroup12169	GO:0003824;GO:0008152;GO:0004776;GO:0042709;GO:0045244;GO:0004775
isogroup1217	GO:0004725;GO:0006470;GO:0005856;GO:0004721;GO:0005737;GO:0008092;GO:0016020;GO:0005515;GO:0004727
isogroup12170	GO:0005267;GO:0006813;GO:0016020
isogroup12172	GO:0008152;GO:0016491;GO:0016021;GO:0008717;GO:0004244
isogroup12173	GO:0003847;GO:0006412
isogroup12176	GO:0006886;GO:0030125
isogroup12177	GO:0007242;GO:0016020
isogroup12179	GO:0005524;GO:0006810;GO:0016021;GO:0042626;GO:0016887;GO:0000166;GO:0017111;GO:0005215
isogroup1218	GO:0005515;GO:0003779;GO:0016043
isogroup12181	GO:0004089;GO:0006730;GO:0008270;GO:0031214
isogroup12182	GO:0004806;GO:0006629
isogroup12186	GO:0004768;GO:0005506;GO:0005783;GO:0006633;GO:0016020;GO:0016491
isogroup1219	GO:0004553;GO:0005975;GO:0005515;GO:0006886;GO:0006888;GO:0030127
isogroup12191	GO:0008270;GO:0004725
isogroup12192	GO:0000154;GO:0000179;GO:0008649;GO:0006412
isogroup12195	GO:0004295;GO:0006508;GO:0004263
isogroup12197	GO:0005524;GO:0005554
isogroup12199	GO:0003743;GO:0006412
isogroup122	GO:0005509;GO:0007155;GO:0005576
isogroup1220	GO:0003676;GO:0005634
isogroup12201	GO:0004558;GO:0004339
isogroup12204	GO:0016020;GO:0004252;GO:0004289;GO:0008132;GO:0008243;GO:0008991;GO:0016808;GO:0004601
isogroup12205	GO:0004147;GO:0004405;GO:0004406;GO:0008080;GO:0008374;GO:0008415;GO:0008951;GO:0016406;GO:0016407;GO:0016408;GO:0016409;GO:0016410;GO:0016411;GO:0016412;GO:0016413;GO:0016414;GO:0016415;GO:0016416;GO:0016417;GO:0016418;GO:0016419;GO:0016420;GO:0016454;GO:0016747;GO:0016748;GO:0016749;GO:0016750;GO:0016751;GO:0016752;GO:0016753;GO:0018030;GO:0018031;GO:0018711;GO:0018712;GO:0018713;GO:0019105;GO:0019107;GO:0019186;GO:0019705;GO:0019706;GO:0019707;GO:0046941;GO:0006412
isogroup12208	GO:0003824;GO:0006725;GO:0016787;GO:0004301
isogroup12209	GO:0004197;GO:0006508;GO:0008234;GO:0004217
isogroup1221	GO:0005515;GO:0005737;GO:0003677;GO:0005634;GO:0006355;GO:0010992
isogroup12213	GO:0003677;GO:0004519;GO:0005622;GO:0006281;GO:0003906;GO:0008833
isogroup1222	GO:0004289;GO:0006508;GO:0004285
isogroup12220	GO:0005488;GO:0006810;GO:0016020;GO:0005743;GO:0005310
isogroup12223	GO:0004806
isogroup12225	GO:0003676
isogroup12229	GO:0003712;GO:0005634;GO:0007275
isogroup1223	GO:0005524;GO:0008026;GO:0003676;GO:0004386;GO:0006259
isogroup12230	GO:0006952;GO:0042829;GO:0004623;GO:0005509;GO:0016042;GO:0000160;GO:0003677;GO:0006355
isogroup12231	GO:0006457;GO:0031072;GO:0051082;GO:0006950;GO:0033554;GO:0061077
isogroup12232	GO:0003677;GO:0005634;GO:0006355
isogroup12233	GO:0003676;GO:0005524;GO:0008026;GO:0003824;GO:0008152;GO:0004334
isogroup12235	GO:0004629;GO:0007165;GO:0007242
isogroup12236	GO:0005515;GO:0007165
isogroup1224	GO:0000151;GO:0004842;GO:0008270;GO:0016567;GO:0010992
isogroup12241	GO:0004295;GO:0006508;GO:0004263;GO:0004252;GO:0004289;GO:0008132;GO:0008243;GO:0008991;GO:0016808
isogroup12242	GO:0003676;GO:0005634;GO:0008270
isogroup12248	GO:0005509;GO:0007156;GO:0016020
isogroup12249	GO:0047184
isogroup12251	GO:0003824;GO:0008464
isogroup12252	GO:0003677;GO:0003700;GO:0005634;GO:0006355
isogroup12254	GO:0003676
isogroup12255	GO:0006464
isogroup12257	GO:0008757;GO:0000154;GO:0000179;GO:0008649;GO:0006364;GO:0016433;GO:0006412
isogroup1226	GO:0008270;GO:0000151;GO:0004842;GO:0016567;GO:0009719;GO:0005164;GO:0033209
isogroup12260	GO:0000151;GO:0004842;GO:0008270;GO:0016567;GO:0015152;GO:0010992
isogroup12261	GO:0016020
isogroup12262	GO:0005355;GO:0006810;GO:0016020;GO:0006886
isogroup12269	GO:0003913;GO:0006281;GO:0003904
isogroup1227	GO:0008466;GO:0002226;GO:0001867
isogroup12270	GO:0003700;GO:0005634;GO:0006355;GO:0003677
isogroup12271	GO:0043087
isogroup12278	GO:0007242
isogroup12279	GO:0005488;GO:0006810;GO:0016020;GO:0005743;GO:0005215;GO:0005310
isogroup12280	GO:0046872
isogroup12281	GO:0003824;GO:0006629;GO:0016789;GO:0004771
isogroup12285	GO:0005554
isogroup12287	GO:0004295;GO:0006508;GO:0004263
isogroup12288	GO:0003824
isogroup12289	GO:0004692
isogroup1229	GO:0006486;GO:0008378;GO:0016020;GO:0000009;GO:0000026;GO:0000030;GO:0000033;GO:0003980;GO:0004376;GO:0004576;GO:0004583;GO:0008375;GO:0008376;GO:0008417;GO:0008921;GO:0016253;GO:0016758;GO:0016759;GO:0018715;GO:0018716;GO:0018717;GO:0018718;GO:0019112;GO:0019187;GO:0042281;GO:0042283;GO:0046527;GO:0046920;GO:0046921;GO:0047256
isogroup12298	GO:0004672;GO:0005524;GO:0006468;GO:0004674;GO:0004682;GO:0004691;GO:0005952;GO:0005956;GO:0008603;GO:0008605
isogroup123	GO:0005524;GO:0016887;GO:0000166;GO:0017111
isogroup1230	GO:0016021;GO:0008273
isogroup12300	GO:0003700;GO:0005634;GO:0006355;GO:0003677
isogroup12301	GO:0005576
isogroup12302	GO:0000785;GO:0003677;GO:0005634;GO:0006355
isogroup12304	GO:0005215;GO:0006857;GO:0016020
isogroup12305	GO:0003676
isogroup12308	GO:0005509
isogroup12309	GO:0000151;GO:0004842;GO:0008270;GO:0016567;GO:0010992
isogroup12310	GO:0008152;GO:0016491
isogroup12313	GO:0016020;GO:0004252;GO:0004289;GO:0008132;GO:0008243;GO:0008991;GO:0016808;GO:0004275
isogroup12314	GO:0005554
isogroup12316	GO:0003824;GO:0008152;GO:0030378
isogroup12317	GO:0005489;GO:0006118;GO:0004791;GO:0030508;GO:0006950;GO:0006979
isogroup12319	GO:0008517;GO:0015232
isogroup12320	GO:0004289;GO:0006508;GO:0007155
isogroup12322	GO:0005554;GO:0016021
isogroup12327	GO:0004197;GO:0006508;GO:0008234;GO:0004217
isogroup12328	GO:0005525;GO:0007264;GO:0015031
isogroup12329	GO:0016021;GO:0005261;GO:0006812;GO:0016020;GO:0005509;GO:0005216;GO:0006811;GO:0004051
isogroup1233	GO:0035005
isogroup12330	GO:0006118;GO:0004458
isogroup12332	GO:0008152;GO:0016491;GO:0004090;GO:0004303;GO:0050327
isogroup12333	GO:0005524;GO:0006810;GO:0016021;GO:0042626;GO:0016887;GO:0000166;GO:0017111
isogroup12335	GO:0005509;GO:0016706;GO:0019538;GO:0004656;GO:0016222
isogroup12337	GO:0005351;GO:0009401;GO:0003676
isogroup12338	GO:0016251
isogroup12339	GO:0008146;GO:0045130
isogroup12342	GO:0006464
isogroup12344	GO:0005524
isogroup12345	GO:0016021
isogroup12349	GO:0004558;GO:0004339
isogroup1235	GO:0005261;GO:0006812;GO:0016020;GO:0005216;GO:0006811
isogroup12354	GO:0003924;GO:0005525;GO:0006955
isogroup12356	GO:0006281;GO:0016450
isogroup12357	GO:0005515;GO:0007165;GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004674
isogroup12358	GO:0004558;GO:0004339
isogroup1236	GO:0005525;GO:0007264;GO:0006886;GO:0015031
isogroup12361	GO:0006812;GO:0008324;GO:0016020
isogroup12364	GO:0004872;GO:0005509
isogroup12366	GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004674
isogroup12374	GO:0004672;GO:0005524;GO:0006468
isogroup12375	GO:0004872
isogroup12376	GO:0005525;GO:0007264;GO:0006886;GO:0015031;GO:0003924;GO:0003925
isogroup12377	GO:0008757;GO:0003824;GO:0004766
isogroup1238	GO:0005085;GO:0007264;GO:0007242;GO:0005089
isogroup12382	GO:0003676;GO:0005524;GO:0008026;GO:0004386
isogroup12386	GO:0003847
isogroup1239	GO:0004439
isogroup12390	GO:0003700;GO:0005634;GO:0006355;GO:0003677;GO:0007275;GO:0004722
isogroup12397	GO:0006508;GO:0008235;GO:0004239
isogroup12398	GO:0005515
isogroup1240	GO:0005524;GO:0006810;GO:0016021;GO:0042626;GO:0016887;GO:0000166;GO:0017111
isogroup12401	GO:0006470;GO:0008138;GO:0004721
isogroup12408	GO:0005515;GO:0005249;GO:0006813;GO:0008076;GO:0016020
isogroup1241	GO:0016853;GO:0005489;GO:0006118;GO:0003756;GO:0006950;GO:0006979
isogroup12411	GO:0003677;GO:0003700;GO:0005634;GO:0006355;GO:0007275
isogroup12414	GO:0001584;GO:0007186;GO:0016021;GO:0004930;GO:0016020
isogroup12415	GO:0000166;GO:0017111
isogroup12417	GO:0004709
isogroup12419	GO:0016491;GO:0008336;GO:0050353
isogroup12421	GO:0008570
isogroup12422	GO:0004558;GO:0004339
isogroup12423	GO:0005576
isogroup12424	GO:0005489;GO:0006118;GO:0004715
isogroup12426	GO:0000166;GO:0017111;GO:0005524;GO:0008568
isogroup12428	GO:0005215;GO:0006810;GO:0016020
isogroup1243	GO:0003774;GO:0016459
isogroup12433	GO:0000151;GO:0004842;GO:0008270;GO:0016567;GO:0010992
isogroup12434	GO:0003735;GO:0005622;GO:0005840;GO:0006412
isogroup12436	GO:0003899;GO:0003900;GO:0003901;GO:0003902
isogroup12437	GO:0003676
isogroup12439	GO:0003677;GO:0003700;GO:0005634;GO:0006355;GO:0004722
isogroup12444	GO:0003824;GO:0006725;GO:0016787;GO:0004518;GO:0016788;GO:0042578
isogroup12445	GO:0003700;GO:0005634;GO:0006355;GO:0003677
isogroup12448	GO:0008270
isogroup1245	GO:0008270;GO:0008091
isogroup12451	GO:0000226;GO:0005874
isogroup12458	GO:0006464;GO:0007242;GO:0005085
isogroup12460	GO:0006486;GO:0008417;GO:0016020
isogroup12461	GO:0005960;GO:0006546
isogroup12462	GO:0047756
isogroup12466	GO:0003676;GO:0006457;GO:0003755;GO:0004600;GO:0030051;GO:0042027
isogroup12467	GO:0004871;GO:0007242
isogroup12469	GO:0003847;GO:0016251
isogroup12470	GO:0004335;GO:0005524;GO:0006012;GO:0046835;GO:0008152;GO:0016301;GO:0016310;GO:0005737;GO:0016773
isogroup12471	GO:0005856;GO:0005737;GO:0008092;GO:0016020
isogroup12473	GO:0003871;GO:0009086
isogroup12474	GO:0006118;GO:0016491;GO:0004729;GO:0006779
isogroup12479	GO:0003677;GO:0006355
isogroup1248	GO:0005201;GO:0005581;GO:0005737;GO:0006817
isogroup12481	GO:0003735;GO:0005622;GO:0005840;GO:0006412;GO:0016262
isogroup12485	GO:0005515;GO:0007165
isogroup12486	GO:0004812;GO:0005524;GO:0006418;GO:0004830;GO:0006436;GO:0004789;GO:0004417
isogroup12487	GO:0005328;GO:0005887;GO:0006836;GO:0016020;GO:0005332;GO:0007268
isogroup12489	GO:0047756
isogroup1249	GO:0005351;GO:0009401
isogroup12491	GO:0009374;GO:0005524;GO:0008152;GO:0016874;GO:0004658;GO:0008716
isogroup12492	GO:0005622;GO:0008270;GO:0000151;GO:0004842;GO:0016567;GO:0010992
isogroup12495	GO:0005215;GO:0006810;GO:0016021
isogroup1250	GO:0008415;GO:0004095;GO:0004092;GO:0004093;GO:0004094
isogroup12506	GO:0005524;GO:0006139;GO:0019201;GO:0016776;GO:0004017
isogroup12508	GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004674
isogroup1251	GO:0003735;GO:0005622;GO:0005840;GO:0006412
isogroup12513	GO:0001584;GO:0007186;GO:0016021;GO:0006952;GO:0008502
isogroup12515	GO:0004295;GO:0006508;GO:0004263
isogroup12522	GO:0001584;GO:0007186;GO:0016021
isogroup12523	GO:0005862
isogroup12526	GO:0005874
isogroup12527	GO:0005515
isogroup1253	GO:0005198;GO:0005905;GO:0006461;GO:0006886;GO:0030130
isogroup12531	GO:0006364;GO:0007046;GO:0019843;GO:0030532
isogroup12541	GO:0008270;GO:0000151;GO:0004842;GO:0016567;GO:0009719;GO:0005164;GO:0033209
isogroup12542	GO:0005576
isogroup12544	GO:0005261;GO:0006812;GO:0016020;GO:0005216;GO:0006811;GO:0007600
isogroup1255	GO:0005085;GO:0007264;GO:0007242;GO:0005089
isogroup12554	GO:0009168;GO:0019239;GO:0003876
isogroup12556	GO:0009058
isogroup12558	GO:0005267;GO:0006813;GO:0016020;GO:0005249;GO:0005261;GO:0006812;GO:0005216;GO:0006811;GO:0006950;GO:0006979
isogroup12560	GO:0005001
isogroup12561	GO:0045485
isogroup12568	GO:0005509
isogroup1257	GO:0005525;GO:0006412;GO:0003743
isogroup12571	GO:0000166;GO:0017111;GO:0005524;GO:0005634;GO:0005737;GO:0016787;GO:0030163;GO:0008575;GO:0043248
isogroup12573	GO:0005529
isogroup12574	GO:0005215;GO:0006810;GO:0008021;GO:0016020;GO:0003899;GO:0007268
isogroup12576	GO:0004807;GO:0008152
isogroup12577	GO:0016021;GO:0016600
isogroup12578	GO:0003677;GO:0005663;GO:0006260;GO:0000166;GO:0017111;GO:0005524;GO:0003887;GO:0003889;GO:0003890;GO:0003891;GO:0003893;GO:0003894;GO:0003895;GO:0015999;GO:0016000;GO:0016448;GO:0016449;GO:0016450;GO:0016451;GO:0016452;GO:0019984
isogroup12579	GO:0006508;GO:0030693;GO:0004197;GO:0016946;GO:0006915;GO:1900119
isogroup1258	GO:0016491;GO:0005524;GO:0016887;GO:0006281
isogroup12580	GO:0005279;GO:0006865;GO:0016020
isogroup12582	GO:0006508;GO:0008533;GO:0008237;GO:0004238
isogroup12584	GO:0005737;GO:0006817
isogroup12587	GO:0005515;GO:0005525;GO:0007264;GO:0015031
isogroup12589	GO:0007155;GO:0002226;GO:0042381
isogroup1259	GO:0005524;GO:0015662;GO:0015992;GO:0016020;GO:0006812;GO:0003824;GO:0008152;GO:0005388;GO:0006816;GO:0016021;GO:0016820;GO:0008900
isogroup12590	GO:0004601
isogroup12597	GO:0003723;GO:0005525;GO:0005786;GO:0006614;GO:0004725;GO:0004727
isogroup126	GO:0005509
isogroup12601	GO:0003677;GO:0005634;GO:0006355
isogroup12605	GO:0008757;GO:0008168;GO:0000234
isogroup1261	GO:0005215;GO:0006810;GO:0016020;GO:0008514
isogroup12611	GO:0003824;GO:0008152;GO:0016207
isogroup12613	GO:0005509
isogroup12617	GO:0046922
isogroup12618	GO:0003677;GO:0005634
isogroup12619	GO:0047631;GO:0047734
isogroup12620	GO:0005215;GO:0006810;GO:0008021;GO:0016020;GO:0008470;GO:0007268
isogroup12624	GO:0004601;GO:0051920
isogroup12627	GO:0008757
isogroup1263	GO:0005198
isogroup12632	GO:0017026
isogroup12633	GO:0003824;GO:0008152;GO:0004467
isogroup12635	GO:0006520;GO:0004123;GO:0003962
isogroup12636	GO:0019825
isogroup12638	GO:0004332;GO:0006096
isogroup12639	GO:0003993
isogroup12640	GO:0004295;GO:0006508;GO:0004263;GO:0004252;GO:0004289;GO:0008132;GO:0008243;GO:0008991;GO:0016808
isogroup12641	GO:0007155;GO:0007275
isogroup12642	GO:0003676;GO:0008270;GO:0000151;GO:0004842;GO:0016567;GO:0009719;GO:0005164;GO:0033209
isogroup12643	GO:0004842
isogroup12644	GO:0004594;GO:0005524;GO:0015937
isogroup12647	GO:0007218;GO:0016020;GO:0004930
isogroup12651	GO:0008152;GO:0016491;GO:0000252;GO:0000253;GO:0004448;GO:0004495;GO:0008875;GO:0016229;GO:0016616;GO:0018451;GO:0018452;GO:0018453;GO:0048258;GO:0047560
isogroup12655	GO:0001509;GO:0004197;GO:0006508;GO:0003923
isogroup1266	GO:0003676
isogroup12660	GO:0008152;GO:0008484;GO:0003943;GO:0004423
isogroup12661	GO:0007242
isogroup12662	GO:0001584;GO:0007186;GO:0016021
isogroup12663	GO:0008270;GO:0003676;GO:0005634
isogroup12667	GO:0005554
isogroup12668	GO:0005525;GO:0007264;GO:0006886;GO:0015031
isogroup12669	GO:0008152;GO:0008415;GO:0004366;GO:0003841
isogroup1267	GO:0008152;GO:0016787;GO:0005524;GO:0006812;GO:0015662;GO:0016020;GO:0003824;GO:0016021;GO:0016887;GO:0016820
isogroup12671	GO:0003700;GO:0005634;GO:0006355;GO:0003677
isogroup12672	GO:0003824;GO:0003847;GO:0008247;GO:0016042
isogroup12679	GO:0007154;GO:0016020
isogroup12680	GO:0005524;GO:0006139;GO:0016773;GO:0008137;GO:0003954
isogroup12685	GO:0005554
isogroup12688	GO:0015520;GO:0015904;GO:0016021;GO:0005215;GO:0006810;GO:0016020;GO:0008514
isogroup12689	GO:0005515;GO:0007165
isogroup1269	GO:0003913;GO:0006281
isogroup12690	GO:0005576;GO:0007242;GO:0004835
isogroup12691	GO:0003723;GO:0006396;GO:0008173
isogroup1270	GO:0005279;GO:0006865;GO:0016020;GO:0006810
isogroup12700	GO:0004061
isogroup12704	GO:0008152;GO:0008111
isogroup12707	GO:0019135
isogroup12710	GO:0003676;GO:0003723;GO:0005634
isogroup12717	GO:0022625;GO:0006412;GO:0042254
isogroup1272	GO:0003676;GO:0004518;GO:0006259;GO:0008821
isogroup12727	GO:0016021;GO:0016192
isogroup1273	GO:0016773;GO:0004429;GO:0015072;GO:0015073;GO:0016303;GO:0004677
isogroup12731	GO:0005044;GO:0016020
isogroup12734	GO:0005215;GO:0006810;GO:0016021
isogroup12736	GO:0003677;GO:0006355;GO:0005634
isogroup12739	GO:0005529;GO:0002226;GO:0001867
isogroup1274	GO:0001584;GO:0007186;GO:0016021;GO:0016500;GO:0004996
isogroup12740	GO:0016787;GO:0000158;GO:0004721;GO:0004723;GO:0004724;GO:0005963;GO:0008420;GO:0008597;GO:0015071;GO:0017018;GO:0017020;GO:0017023;GO:0030357
isogroup12741	GO:0008831;GO:0045226;GO:0008460
isogroup12742	GO:0016021
isogroup12746	GO:0003723;GO:0006412
isogroup12748	GO:0016905;GO:0016251
isogroup1275	GO:0006464;GO:0022625;GO:0006915;GO:1900119
isogroup12751	GO:0003700;GO:0005634;GO:0006355;GO:0003677
isogroup12753	GO:0004623;GO:0030163;GO:0043248
isogroup12754	GO:0047611;GO:0004407;GO:0040029;GO:0016570
isogroup12756	GO:0003743;GO:0006446;GO:0003723;GO:0006412
isogroup12758	GO:0003824;GO:0008152
isogroup1276	GO:0007242;GO:0004713;GO:0016175
isogroup12760	GO:0000786;GO:0003677;GO:0005634;GO:0006334;GO:0007001
isogroup12762	GO:0000151;GO:0004842;GO:0008270;GO:0016567;GO:0010992
isogroup12763	GO:0008757;GO:0008168;GO:0000234
isogroup12764	GO:0000151;GO:0004842;GO:0008270;GO:0016567;GO:0010992
isogroup1277	GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004674;GO:0004712
isogroup12771	GO:0004792;GO:0008272
isogroup12772	GO:0005198;GO:0005578
isogroup12773	GO:0007155;GO:0016021;GO:0030163;GO:0043248
isogroup12776	GO:0008152;GO:0008484;GO:0003943;GO:0004065
isogroup12779	GO:0004298;GO:0004299;GO:0030163;GO:0043248
isogroup1278	GO:0004657;GO:0006537;GO:0006562
isogroup12782	GO:0043087
isogroup12783	GO:0043087
isogroup12784	GO:0016020;GO:0005509
isogroup12787	GO:0004702;GO:0005524;GO:0007178;GO:0016020;GO:0004675;GO:0005024;GO:0004672;GO:0006468;GO:0004713;GO:0004674;GO:0004682;GO:0004691;GO:0005952;GO:0005956;GO:0008603;GO:0008605;GO:0016362
isogroup12790	GO:0000139;GO:0003827;GO:0006487
isogroup12791	GO:0005509
isogroup12793	GO:0016021
isogroup12794	GO:0003677;GO:0006355
isogroup12796	GO:0006508;GO:0008533;GO:0008237;GO:0008270;GO:0004238
isogroup12797	GO:0016021
isogroup12799	GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004674;GO:0004708
isogroup128	GO:0004725;GO:0006470;GO:0004721;GO:0004727
isogroup1280	GO:0004439
isogroup12802	GO:0005515
isogroup12803	GO:0006092;GO:0046912
isogroup12806	GO:0006564;GO:0016616;GO:0030267;GO:0016618
isogroup12807	GO:0005874
isogroup12808	GO:0005215;GO:0006810;GO:0016021;GO:0016020;GO:0015101;GO:0015226
isogroup12812	GO:0003824;GO:0008152;GO:0030378
isogroup12816	GO:0004840;GO:0006464;GO:0006512;GO:0004842;GO:0010992
isogroup12817	GO:0005515
isogroup12819	GO:0004067;GO:0006516;GO:0008798
isogroup12827	GO:0006486;GO:0008417;GO:0016020
isogroup1283	GO:0007165;GO:0005085;GO:0007264;GO:0005515;GO:0007242
isogroup12832	GO:0051920
isogroup12833	GO:0042981;GO:0006915;GO:1900118
isogroup12837	GO:0001584;GO:0007186;GO:0016021
isogroup12838	GO:0005529;GO:0008270;GO:0016491;GO:0002226;GO:0001867
isogroup12839	GO:0003824;GO:0004301;GO:0005792;GO:0009636;GO:0016020
isogroup12841	GO:0004289;GO:0006508;GO:0004252;GO:0008132;GO:0008243;GO:0008991;GO:0016808;GO:0004276
isogroup12842	GO:0005509
isogroup12843	GO:0047420
isogroup12845	GO:0008119
isogroup12847	GO:0005267;GO:0006813;GO:0016020;GO:0005249;GO:0005261;GO:0006812;GO:0005216;GO:0006811;GO:0006950;GO:0006979
isogroup12848	GO:0005524;GO:0008026;GO:0003676;GO:0004386;GO:0000810;GO:0004787;GO:0008722;GO:0008758;GO:0008796;GO:0008828;GO:0016462;GO:0016818;GO:0019176;GO:0019177;GO:0003743;GO:0006412
isogroup12851	GO:0005488;GO:0006810;GO:0016020;GO:0005743;GO:0005215;GO:0015207
isogroup12852	GO:0005525;GO:0007264;GO:0015031;GO:0006886;GO:0003924;GO:0003925
isogroup12853	GO:0005975;GO:0042578;GO:0042132
